Titulo,Conteúdo
Iron Man,"Um bilionário industrial e gênio inventor, Tony Stark, cria uma armadura tecnológica para salvar sua vida e se torna o super-herói Iron Man."
The Incredible Hulk,"Bruce Banner se transforma no Hulk, uma criatura verde de força descomunal, enquanto tenta escapar do exército que o persegue."
Iron Man 2,"Tony Stark enfrenta pressões do governo, amigos e novas ameaças enquanto luta para proteger sua tecnologia de ser usada para o mal."
Thor,"O deus do trovão, Thor, é banido de Asgard e enviado à Terra, onde deve aprender a ser um verdadeiro herói."
Captain America,"Steve Rogers, um soldado frágil, participa de um experimento que o transforma no super-soldado Captain America para lutar na Segunda Guerra Mundial."
The Avengers,Os heróis mais poderosos da Terra se unem para enfrentar Loki e seu exército alienígena em Nova York.
Iron Man 3,"Tony Stark enfrenta os demônios de seu passado enquanto lida com uma nova ameaça terrorista, o Mandarim."
Thor: The Dark World,"Thor deve salvar o universo das forças das trevas lideradas por Malekith, o elfo sombrio."
Captain America: The Winter Soldier,"Captain America enfrenta um novo inimigo perigoso, o Soldado Invernal, enquanto descobre uma conspiração que ameaça o mundo."
Guardians of the Galaxy,Um grupo de desajustados se une para proteger uma poderosa relíquia e impedir que ela caia nas mãos do vilão Ronan.